Unique_id,diameter,sample,trial
Id _1,74.03,1,TRUE
Id _2,74.002,1,TRUE
Id _3,74.019,1,TRUE
Id _4,73.992,1,TRUE
Id _5,74.008,1,TRUE
Id _6,73.995,2,TRUE
Id _7,73.992,2,TRUE
Id _8,74.001,2,TRUE
Id _9,74.011,2,TRUE
Id _10,74.004,2,TRUE
Id _11,73.988,3,TRUE
Id _12,74.024,3,TRUE
Id _13,74.021,3,TRUE
Id _14,74.005,3,TRUE
Id _15,74.002,3,TRUE
Id _16,74.002,4,TRUE
Id _17,73.996,4,TRUE
Id _18,73.993,4,TRUE
Id _19,74.015,4,TRUE
Id _20,74.009,4,TRUE
Id _21,73.992,5,TRUE
Id _22,74.007,5,TRUE
Id _23,74.015,5,TRUE
Id _24,73.989,5,TRUE
Id _25,74.014,5,TRUE
Id _26,74.009,6,TRUE
Id _27,73.994,6,TRUE
Id _28,73.997,6,TRUE
Id _29,73.985,6,TRUE
Id _30,73.993,6,TRUE
Id _31,73.995,7,TRUE
Id _32,74.006,7,TRUE
Id _33,73.994,7,TRUE
Id _34,74,7,TRUE
Id _35,74.005,7,TRUE
Id _36,73.985,8,TRUE
Id _37,74.003,8,TRUE
Id _38,73.993,8,TRUE
Id _39,74.015,8,TRUE
Id _40,73.988,8,TRUE
Id _41,74.008,9,TRUE
Id _42,73.995,9,TRUE
Id _43,74.009,9,TRUE
Id _44,74.005,9,TRUE
Id _45,74.004,9,TRUE
Id _46,73.998,10,TRUE
Id _47,74,10,TRUE
Id _48,73.99,10,TRUE
Id _49,74.007,10,TRUE
Id _50,73.995,10,TRUE
Id _51,73.994,11,TRUE
Id _52,73.998,11,TRUE
Id _53,73.994,11,TRUE
Id _54,73.995,11,TRUE
Id _55,73.99,11,TRUE
Id _56,74.004,12,TRUE
Id _57,74,12,TRUE
Id _58,74.007,12,TRUE
Id _59,74,12,TRUE
Id _60,73.996,12,TRUE
Id _61,73.983,13,TRUE
Id _62,74.002,13,TRUE
Id _63,73.998,13,TRUE
Id _64,73.997,13,TRUE
Id _65,74.012,13,TRUE
Id _66,74.006,14,TRUE
Id _67,73.967,14,TRUE
Id _68,73.994,14,TRUE
Id _69,74,14,TRUE
Id _70,73.984,14,TRUE
Id _71,74.012,15,TRUE
Id _72,74.014,15,TRUE
Id _73,73.998,15,TRUE
Id _74,73.999,15,TRUE
